DBA,BORO,BUILDING,STREET,ZIPCODE,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE
STARBUCKS,MANHATTAN,2,W 45TH ST,10036,"2 W 45TH ST, MANHATTAN, NY 10036",CafÃ©/Coffee/Tea,5/17/2018,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,4,A,5/17/2018
MY BELLY'S PLAYLIST,MANHATTAN,89,WASHINGTON ST,10006,"89 WASHINGTON ST, MANHATTAN, NY 10006",Sandwiches/Salads/Mixed Buffet,12/4/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,12/4/2018
SARABETH'S,MANHATTAN,423,AMSTERDAM AVENUE,10024,"423 AMSTERDAM AVENUE, MANHATTAN, NY 10024",American,7/6/2018,Live roaches present in facility's food and/or non-food areas.,Critical,22,B,7/6/2018
MALII,MANHATTAN,2028,2ND AVE,10029,"2028 2ND AVE, MANHATTAN, NY 10029",Thai,10/24/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,B,10/24/2017
VIACOM CAFETERIA,MANHATTAN,1515,BROADWAY,10036,"1515 BROADWAY, MANHATTAN, NY 10036",American,12/19/2018,Food contact surface not properly maintained.,Not Critical,13,A,12/19/2018
SUBWAY,MANHATTAN,2699,BROADWAY,10025,"2699 BROADWAY, MANHATTAN, NY 10025",Sandwiches/Salads/Mixed Buffet,9/25/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,9/25/2018
THE MEATBALL SHOP,MANHATTAN,1462,2ND AVENUE,10075,"1462 2ND AVENUE, MANHATTAN, NY 10075",American,8/15/2016,Hot food item not held at or above 140Âº F.,Critical,10,A,8/15/2016
AMC THEATRES,MANHATTAN,2310,BROADWAY,10024,"2310 BROADWAY, MANHATTAN, NY 10024",American,7/10/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,7/10/2017
KENNEDY'S CHICKEN & GRILL,MANHATTAN,1550,SAINT NICHOLAS AVE,10040,"1550 SAINT NICHOLAS AVE, MANHATTAN, NY 10040",American,8/1/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,8/1/2016
TAL BAGEL,MANHATTAN,333,EAST   86 STREET,10028,"333 EAST   86 STREET, MANHATTAN, NY 10028",Bagels/Pretzels,5/24/2017,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,7,A,5/24/2017
THE BEST PIZZA,MANHATTAN,748,9 AVENUE,10019,"748 9 AVENUE, MANHATTAN, NY 10019",Pizza,2/16/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,2/16/2017
ESANATION,MANHATTAN,750,9TH AVE,10019,"750 9TH AVE, MANHATTAN, NY 10019",Thai,4/18/2018,Hot food item not held at or above 140Âº F.,Critical,10,A,4/18/2018
LAVAGNA,MANHATTAN,545,EAST    5 STREET,10009,"545 EAST    5 STREET, MANHATTAN, NY 10009",Italian,4/26/2016,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,4/26/2016
CAFE FREDERICK HARLEM PARLOR,MANHATTAN,2104,FREDERICK DOUGLASS BLVD,10026,"2104 FREDERICK DOUGLASS BLVD, MANHATTAN, NY 10026",American,5/3/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,5/3/2018
124 COFFEE SHOP,MANHATTAN,53,E 124TH ST,10035,"53 E 124TH ST, MANHATTAN, NY 10035",American,8/12/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,B,8/12/2016
67 ORANGE STREET,MANHATTAN,2082,FREDERICK DOUGLAS BOULEVARD,10026,"2082 FREDERICK DOUGLAS BOULEVARD, MANHATTAN, NY 10026",American,6/5/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,6/5/2018
SNAX SPOT,MANHATTAN,534,9TH AVE,10018,"534 9TH AVE, MANHATTAN, NY 10018",American,1/2/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,1/2/2018
BIG BOOTY BREAD,MANHATTAN,261,WEST   23 STREET,10011,"261 WEST   23 STREET, MANHATTAN, NY 10011",Bakery,7/2/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,7,A,7/2/2018
DUNKIN' DONUTS,MANHATTAN,10,W 33RD ST,10001,"10 W 33RD ST, MANHATTAN, NY 10001",Donuts,12/26/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,12/26/2018
VIRGINIA'S,MANHATTAN,647,E 11TH ST,10009,"647 E 11TH ST, MANHATTAN, NY 10009",American,6/29/2017,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,6/29/2017
SABOR TROPICAL,MANHATTAN,143,SHERMAN AVE,10034,"143 SHERMAN AVE, MANHATTAN, NY 10034","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/1/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,B,9/1/2016
BOQUERIA,MANHATTAN,1460,2ND AVE,10075,"1460 2ND AVE, MANHATTAN, NY 10075",Tapas,5/15/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,5/15/2017
FAMOUS RAY'S PIZZA,MANHATTAN,736,7 AVENUE,10019,"736 7 AVENUE, MANHATTAN, NY 10019",Pizza,4/20/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,4/20/2016
PAZZA NOTTE,MANHATTAN,1375,AVENUE OF THE AMERICAS,10019,"1375 AVENUE OF THE AMERICAS, MANHATTAN, NY 10019",Italian,4/5/2017,Hot food item not held at or above 140Âº F.,Critical,11,A,4/5/2017
BILLYMARKS WEST,MANHATTAN,332,9 AVENUE,10001,"332 9 AVENUE, MANHATTAN, NY 10001",American,1/26/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,1/26/2017
CASA MEXICANA,MANHATTAN,898,AMSTERDAM AVE,10025,"898 AMSTERDAM AVE, MANHATTAN, NY 10025",Mexican,7/26/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,7/26/2018
FAMOUS CALABRIA PIZZERIA,MANHATTAN,27,SAINT JAMES PL,10038,"27 SAINT JAMES PL, MANHATTAN, NY 10038",Pizza/Italian,9/12/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,9/12/2018
SARABETH'S,MANHATTAN,381,PARK AVENUE SOUTH,10016,"381 PARK AVENUE SOUTH, MANHATTAN, NY 10016",American,3/29/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,3/29/2018
HASWELL GREEN'S,MANHATTAN,240,W 52ND ST,10019,"240 W 52ND ST, MANHATTAN, NY 10019",American,10/24/2018,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A,10/24/2018
THE UNION LEAGUE CLUB,MANHATTAN,38,EAST   37 STREET,10016,"38 EAST   37 STREET, MANHATTAN, NY 10016",American,2/6/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,2/6/2017
DUNKIN' DONUTS,MANHATTAN,122,FULTON ST,10038,"122 FULTON ST, MANHATTAN, NY 10038",Donuts,10/11/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,10/11/2018
MADISON & VINE,MANHATTAN,299,MADISON AVENUE,10017,"299 MADISON AVENUE, MANHATTAN, NY 10017",American,5/31/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,5/31/2016
HEWITT DINING HALL BARNARD COLLEGE CAFETERIA,MANHATTAN,607,WEST  116 STREET,10027,"607 WEST  116 STREET, MANHATTAN, NY 10027",American,10/30/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,14,B,10/30/2017
LITTLE OCHIE JAMAICAN CUISINE,MANHATTAN,2492,7 AVENUE,10030,"2492 7 AVENUE, MANHATTAN, NY 10030",Caribbean,8/25/2017,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,10,A,8/25/2017
PASTAFINA PIZZA,MANHATTAN,388,3RD AVE,10016,"388 3RD AVE, MANHATTAN, NY 10016",Pizza,9/14/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,9/14/2018
CAMPAGNA QUATTRO GATTI,MANHATTAN,205,EAST   81 STREET,10028,"205 EAST   81 STREET, MANHATTAN, NY 10028",Italian,6/5/2018,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,11,A,6/5/2018
SUBWAY,MANHATTAN,165,CHURCH STREET,10007,"165 CHURCH STREET, MANHATTAN, NY 10007",Sandwiches,8/10/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,8/10/2016
AIRS CHAMPAGNE PARLOR,MANHATTAN,127,MACDOUGAL ST,10012,"127 MACDOUGAL ST, MANHATTAN, NY 10012",French,2/7/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,2/7/2017
CHELSEA BAGEL,MANHATTAN,800,2ND AVE,10017,"800 2ND AVE, MANHATTAN, NY 10017",Bagels/Pretzels,9/15/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,9/15/2017
GO ZEN RESTAURANT,MANHATTAN,144,W 4TH ST,10012,"144 W 4TH ST, MANHATTAN, NY 10012",Vegetarian,7/16/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,7/16/2018
GEORGE'S PIZZA,MANHATTAN,726,W 181ST ST,10033,"726 W 181ST ST, MANHATTAN, NY 10033",Pizza/Italian,3/8/2019,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26,Z,3/8/2019
SONS OF ESSEX,MANHATTAN,133,ESSEX STREET,10002,"133 ESSEX STREET, MANHATTAN, NY 10002",American,5/26/2018,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,5/26/2018
CHICK-FIL-A,MANHATTAN,1000,AVENUE OF THE AMERICAS,10018,"1000 AVENUE OF THE AMERICAS, MANHATTAN, NY 10018",Chicken,12/24/2015,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,59,C,12/24/2015
HAMA,MANHATTAN,11,W 51ST ST,10019,"11 W 51ST ST, MANHATTAN, NY 10019",Japanese,8/28/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,8/28/2017
THE BOX,MANHATTAN,189,CHRYSTIE STREET,10002,"189 CHRYSTIE STREET, MANHATTAN, NY 10002",American,3/23/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A,3/23/2018
CHONG QING XIAO MIAN 2,MANHATTAN,82,2ND AVE,10003,"82 2ND AVE, MANHATTAN, NY 10003",Chinese,3/14/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,26,B,3/14/2018
PROTO PIZZA,MANHATTAN,50,2ND AVE,10003,"50 2ND AVE, MANHATTAN, NY 10003",Pizza/Italian,12/6/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,12/6/2017
STARBUCKS,MANHATTAN,2,COLUMBUS AVENUE,10019,"2 COLUMBUS AVENUE, MANHATTAN, NY 10019",CafÃ©/Coffee/Tea,7/24/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,7/24/2018
IRVING FARM COFFEE ROASTERS,MANHATTAN,200,BROADWAY,10038,"200 BROADWAY, MANHATTAN, NY 10038",CafÃ©/Coffee/Tea,4/17/2017,Food contact surface not properly maintained.,Not Critical,7,A,4/17/2017
COFFEE BAR,MANHATTAN,225,LIBERTY ST,10280,"225 LIBERTY ST, MANHATTAN, NY 10280",CafÃ©/Coffee/Tea,9/14/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,9/14/2018
THE BAO,MANHATTAN,13,SAINT MARKS PL,10003,"13 SAINT MARKS PL, MANHATTAN, NY 10003",Chinese,8/24/2016,Thawing procedures improper.,Not Critical,10,A,8/24/2016
NO FUN,MANHATTAN,161,LUDLOW STREET,10002,"161 LUDLOW STREET, MANHATTAN, NY 10002",Tapas,3/7/2018,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,13,A,3/7/2018
WA JEAL,MANHATTAN,1588,2 AVENUE,10028,"1588 2 AVENUE, MANHATTAN, NY 10028",Chinese,5/25/2016,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,5/25/2016
CAVA,MANHATTAN,11,W 42ND ST,10036,"11 W 42ND ST, MANHATTAN, NY 10036",Salads,10/31/2018,Proper sanitization not provided for utensil ware washing operation.,Not Critical,5,A,10/31/2018
SCHNITZEL EXPRESS,MANHATTAN,120,W 39TH ST,10018,"120 W 39TH ST, MANHATTAN, NY 10018",Jewish/Kosher,12/10/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,27,B,12/10/2018
RECOLTE,MANHATTAN,300,AMSTERDAM AVE,10023,"300 AMSTERDAM AVE, MANHATTAN, NY 10023",Bakery,9/7/2018,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,17,B,9/7/2018
